CohortMonth,CohortSize,Month1Retention,Month3Retention,Month6Retention,TotalRevenue,RevenuePerCustomer
2009-12,955,35.287958115183244,42.51308900523561,37.696335078534034,8515997.147,8917.27449947644
2010-01,383,20.626631853785902,30.548302872062667,25.848563968668408,1302663.932,3401.211310704961
2010-02,376,23.670212765957448,28.98936170212766,19.148936170212767,986887.205,2624.7000132978724
2010-03,443,18.961625282167045,24.153498871331827,24.604966139954854,1246128.911,2812.9320790067723
2010-04,294,19.387755102040817,16.3265306122449,27.55102040816326,553380.311,1882.2459557823129
2010-05,254,15.748031496062993,17.322834645669293,21.25984251968504,386112.3,1520.1271653543306
2010-06,270,17.40740740740741,20.37037037037037,12.592592592592592,598242.3,2215.7122222222224
2010-07,186,15.591397849462366,29.56989247311828,11.29032258064516,309115.27,1661.910053763441
2010-08,162,20.37037037037037,32.098765432098766,9.876543209876543,261377.79,1613.443148148148
2010-09,243,22.633744855967077,12.345679012345679,13.580246913580247,573365.031,2359.5268765432097
2010-10,377,25.72944297082228,12.46684350132626,12.9973474801061,525641.86,1394.2754907161802
2010-11,325,17.53846153846154,9.538461538461538,12.923076923076923,350029.2,1077.012923076923
2010-12,76,9.210526315789473,9.210526315789473,5.263157894736842,62609.92,823.8147368421053
2011-01,71,16.901408450704224,19.718309859154928,15.492957746478872,140280.48,1975.7814084507045
2011-02,124,16.129032258064516,18.548387096774192,15.32258064516129,136670.02,1102.1775806451612
2011-03,179,18.435754189944134,20.11173184357542,20.670391061452513,220732.43,1233.142067039106
2011-04,106,25.471698113207548,19.81132075471698,17.92452830188679,107768.78,1016.6866037735849
2011-05,111,23.423423423423422,16.216216216216218,26.126126126126124,286289.03,2579.1804504504507
2011-06,108,23.14814814814815,26.851851851851855,8.333333333333332,140149.04,1297.6762962962964
2011-07,102,21.568627450980394,27.450980392156865,,94373.801,925.233343137255
2011-08,106,27.358490566037734,26.41509433962264,,149010.54,1405.7598113207548
2011-09,189,26.984126984126984,14.814814814814813,,158190.7,836.9878306878308
2011-10,221,32.126696832579185,,,152442.57,689.7853846153846
2011-11,192,14.0625,,,93521.34,487.0903125
2011-12,28,,,,23824.36,850.87
