CohortMonth,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009-12,452.05291666666665,693.7152565905097,524.7013687943262,528.1215062761506,486.32955484896655,500.10927868852457,474.7850314465409,523.9745896147404,604.3480692167578,575.7933529411764,608.4011360634081,567.5401608738829,478.31600278551537,727.9808726415094,579.6837466307278,529.7032024793389,407.6835525,524.193021978022,574.9131622176592,566.246859688196,648.8942654028436,681.4429547101449,725.4376748251748,543.3487226277373,581.5451245551601
2010-01,363.608783295711,389.8535,306.96066265060244,401.40007692307694,440.06684210526316,382.3590566037736,379.4897810218978,400.03391666666664,419.85791666666665,465.90024999999997,442.78612716763007,400.67717171717175,416.9490196078432,398.0022988505747,478.5634653465347,436.1102816901409,408.91131147540983,416.2744897959184,503.0365263157895,444.2121875,468.89396825396824,586.1159803921569,384.2942763157895,338.75307692307695,
2010-02,382.9391286681716,296.2019642857143,463.3708474576271,385.77471014492755,375.27102564102563,391.73960396039604,426.368829787234,375.6586102941177,443.7889075630252,369.12182432432434,455.7077777777778,321.50881355932205,420.81742424242424,453.1611842105263,390.5081132075472,351.3884259259259,369.7416049382716,427.9383333333334,348.66917808219176,408.57603603603604,424.7815740740741,400.86093750000003,384.27206896551724,,
2010-03,442.6942551984877,436.2934210526316,356.70862068965516,405.7083647798742,357.97121428571427,439.7655905511811,457.19153846153847,455.7642134831461,421.36613259668513,306.7072463768116,440.57125,418.01680555555555,427.52147058823533,465.85966666666667,415.0082456140351,352.8107777777778,425.3851,561.3413483146068,504.3044680851064,540.7924528301887,414.8210666666667,420.9217073170732,,,
2010-04,382.35474153846155,285.9248484848485,302.63838235294116,470.30859375,326.834705882353,375.23231707317075,344.16960784313727,323.46980198019804,264.1679487179487,464.78236842105264,249.92846153846156,385.3265909090909,437.34,418.7851851851852,315.9818867924528,431.7376923076923,343.3065384615384,387.1882,465.2159420289855,324.82,274.5733333333333,,,,
2010-05,387.39343859649125,282.8052083333333,299.26382978723404,264.285,271.95661290322585,380.1751219512195,321.39625,244.06702702702702,279.97714285714284,301.59208333333333,289.499375,347.39631578947365,362.74458333333337,420.9411627906977,312.5672727272727,387.1671052631579,481.92717391304353,351.79400000000004,288.62872727272725,227.852,,,,,
2010-06,422.7237419354839,276.5305172413793,357.8809523809524,390.61833333333334,459.66315789473686,468.9925242718447,306.1732692307692,639.6066666666667,851.8203571428572,792.415,346.05583333333334,611.0132653061224,823.3057142857143,413.0317948717949,1205.2273684210527,456.47926829268295,872.0172727272728,339.5680487804878,317.67285714285714,,,,,,
2010-07,316.6567510548523,246.59705882352938,273.8122,341.47739726027396,333.23837209302326,257.1957142857143,303.1683333333333,327.0953125,296.52142857142854,310.8134375,287.255625,372.0605882352941,341.2091666666667,408.9002857142857,326.6897916666667,363.3904651162791,332.2154411764706,359.165,,,,,,,
2010-08,319.2805263157895,306.622,338.6627941176471,285.4125609756098,346.70682926829267,271.442,331.451875,269.62666666666667,364.9640740740741,351.1146428571428,289.6996,268.95653846153846,373.1756666666667,571.8921875,556.7394285714286,481.3224390243903,468.3425,,,,,,,,
2010-09,568.1395017793594,370.419375,374.1273255813954,312.58948717948715,819.3703125000001,250.54151515151517,554.7482978723405,361.97,640.3108695652173,368.17375000000004,486.4375609756097,739.9622857142857,1353.3025131578947,462.66672727272726,664.0628358208955,365.64066666666673,,,,,,,,,
2010-10,422.9837214611872,323.18180555555557,276.86014705882354,457.99886792452827,297.326511627907,254.15022727272728,288.26229508196724,258.45048387096773,444.75800000000004,487.50600000000003,273.278,362.56689655172414,535.9596774193549,494.13692982456143,351.8006666666667,,,,,,,,,,
2010-11,377.61165841584165,353.5222857142857,365.4766666666667,253.49499999999998,263.26216216216216,322.3381818181818,284.9430909090909,272.73634146341465,259.80054054054057,307.1225,326.9866666666667,336.5215254237288,370.9269444444445,315.54499999999996,,,,,,,,,,,
2010-12,345.8084810126582,255.30777777777777,1401.454,206.21142857142857,682.9577777777778,213.07200000000003,146.024,692.7057142857142,150.06,250.415,231.79142857142855,570.6166666666667,234.315,,,,,,,,,,,,
2011-01,660.8823376623377,222.0635294117647,234.12941176470588,1470.21,384.66809523809525,358.15833333333336,319.221875,462.0641666666667,499.3266666666666,544.3342857142858,454.3208695652174,362.194,,,,,,,,,,,,,
2011-02,312.1372857142857,303.44607142857143,497.0148484848485,312.4517647058824,288.4096875,251.13363636363638,318.78520000000003,480.24142857142857,476.34849999999994,439.7917857142857,349.94625,,,,,,,,,,,,,,
