support,itemsets,itemset_size
0.02676412398329303,15036,1
0.02346669597713783,15056BL,1
0.02816553088590899,15056N,1
0.012282919322928116,15060B,1
0.011348648054517477,16156S,1
0.012063090789184437,16161P,1
0.015910090129698833,16237,1
0.012337876456364036,17003,1
0.012722576390415475,20674,1
0.019015168168828315,20675,1
0.02654429544954935,20676,1
0.020883710705649594,20677,1
0.019619696636623433,20679,1
0.016129918663442516,20682,1
0.047208177621455266,20685,1
0.02890745218729391,20711,1
0.038744779072323585,20712,1
0.03583205100021983,20713,1
0.020773796438777754,20717,1
0.03330402286216751,20718,1
0.043196306880633105,20719,1
0.03789294350406683,20723,1
0.05591888327104858,20724,1
0.08394702132336777,20725,1
0.0528138052319191,20726,1
0.06443723895361618,20727,1
0.05668828313915146,20728,1
0.020966146405803472,20749,1
0.024923060013189714,20750,1
0.012914926357441197,20751,1
0.023356781710265992,20754,1
0.016679489997801715,20828,1
0.013217190591338756,20829,1
0.05547922620356122,20914,1
0.014096504726313476,20961,1
0.013986590459441636,20963,1
0.011540998021543196,20966,1
0.016844361398109475,20969,1
0.015745218729391074,20970,1
0.03140800175862827,20971,1
0.038305122004836226,20972,1
0.018080896900417674,20973,1
0.022559903275445152,20974,1
0.024675752912728072,20975,1
0.013327104858210596,20977,1
0.015305561661903715,20978,1
0.019454825236315674,20979,1
0.014096504726313476,20981,1
0.015827654429544955,20982,1
0.017613761266212353,20983,1
0.011870740822158716,20992,1
0.015745218729391074,21033,1
0.05149483402945702,21034,1
0.02550010991426687,21035,1
0.014371290393493075,21041,1
0.010963948120466036,21042,1
0.010222026819081118,21068,1
0.012942404924159157,21071,1
0.020334139371290392,21078,1
0.05828204000879314,21080,1
0.023109474609804354,21086,1
0.02703890965047263,21094,1
0.016239832930314356,21098,1
0.016816882831391513,21108,1
0.013464497691800395,21114,1
0.011815783688722796,21115,1
0.014646076060672676,21116,1
0.023933831611343152,21121,1
0.022175203341393713,21122,1
0.017256539898878875,21124,1
0.011101340954055837,21135,1
0.020306660804572434,21136,1
0.016706968564519673,21137,1
0.024785667179599912,21154,1
0.02648933831611343,21155,1
0.025527588480984832,21156,1
0.019784568036931193,21164,1
0.02651681688283139,21165,1
0.03901956473950319,21166,1
0.021158496372829193,21169,1
0.02651681688283139,21172,1
0.03116069465816663,21174,1
0.04550450648494175,21175,1
0.013876676192569796,21179,1
0.049351505825456145,21181,1
0.010084633985491316,21186,1
0.03184765882611563,21210,1
0.08562321389316334,21212,1
0.040585843042426906,21213,1
0.021900417674214114,21216,1
0.025472631347548912,21217,1
0.024620795779292153,21218,1
0.040668278742580784,21231,1
0.06674543855792482,21232,1
0.024785667179599912,21238,1
0.020608925038469995,21239,1
0.021131017806111232,21240,1
0.018053418333699715,21242,1
0.013821719059133876,21243,1
0.012227962189492196,21244,1
0.014563640360518795,21257,1
0.014233897559903275,21258,1
0.017970982633545834,21259,1
0.014618597493954714,21260,1
0.011348648054517477,21313,1
0.02907232358760167,21314,1
0.017476368432622555,21326,1
0.013574411958672235,21327,1
0.017668718399648273,21328,1
0.015250604528467795,21329,1
0.011046383820619916,21340,1
0.011018905253901956,21363,1
0.017861068366673994,21380,1
0.014618597493954714,21381,1
0.018960211035392395,21385,1
0.016129918663442516,21390,1
0.012447790723235876,21407,1
0.017146625632007036,21411,1
0.012667619256979555,21428,1
0.02734117388437019,21429,1
0.022230160474829633,21430,1
0.011211255220927677,21452,1
0.02550010991426687,21479,1
0.02882501648714003,21481,1
0.02374148164431743,21484,1
0.03800285777093867,21485,1
0.013766761925697956,21494,1
0.010167069685645196,21495,1
0.013272147724774676,21497,1
0.021872939107496152,21498,1
0.012612662123543636,21499,1
0.013491976258518355,21500,1
0.018273246867443395,21506,1
0.016047482963288635,21507,1
0.014865904594416356,21508,1
0.017256539898878875,21509,1
0.015195647395031875,21519,1
0.03077599472411519,21523,1
0.03157287315893603,21524,1
0.022752253242470873,21527,1
0.021323367773136953,21531,1
0.026214552648933832,21533,1
0.03044625192349967,21535,1
0.019454825236315674,21539,1
0.013821719059133876,21544,1
0.021021103539239392,21558,1
0.03349637282919323,21559,1
0.014343811826775115,21561,1
0.012722576390415475,21577,1
0.010441855352824797,21578,1
0.010029676852055396,21591,1
0.013079797757748956,21592,1
